criterion,max_depth,max_features,min_samples_leaf,min_samples_split,score
entropy,5.0,log2,4,2,0.952977067115506
entropy,5.0,log2,4,3,0.9406480117820324
entropy,5.0,log2,4,4,0.9508310540711129
entropy,10.0,auto,1,2,0.9427098674521355
entropy,10.0,auto,1,3,0.9488112770881548
entropy,10.0,auto,1,4,0.9325268251630549
entropy,10.0,auto,2,2,0.9243004418262151
entropy,10.0,auto,2,3,0.9386492741426468
entropy,10.0,auto,2,4,0.9386071954555018
entropy,10.0,auto,3,2,0.9222806648432569
entropy,10.0,auto,3,3,0.9590574374079528
entropy,10.0,auto,3,4,0.9304018514622344
entropy,10.0,auto,4,2,0.9304228908058068
entropy,10.0,auto,4,3,0.9365663791289712
entropy,10.0,auto,4,4,0.9201136124552913
entropy,10.0,sqrt,1,2,0.9385861561119293
entropy,10.0,sqrt,1,3,0.9161161371765202
entropy,10.0,sqrt,1,4,0.9488112770881548
entropy,10.0,sqrt,2,2,0.9262991794656006
entropy,10.0,sqrt,2,3,0.9325057858194825
entropy,10.0,sqrt,2,4,0.9468125394487691
entropy,10.0,sqrt,3,2,0.9221965074689671
entropy,10.0,sqrt,3,3,0.9304018514622344
entropy,10.0,sqrt,3,4,0.9488954344624447
entropy,10.0,sqrt,4,2,0.9345676414895856
entropy,10.0,sqrt,4,3,0.9386071954555018
entropy,10.0,sqrt,4,4,0.9366505365032612
entropy,10.0,log2,1,2,0.9365453397853987
entropy,10.0,log2,1,3,0.9242794024826425
entropy,10.0,log2,1,4,0.9488743951188722
entropy,10.0,log2,2,2,0.930422890805807
entropy,10.0,log2,2,3,0.9467494214180517
entropy,10.0,log2,2,4,0.9406900904691774
entropy,10.0,log2,3,2,0.9385861561119293
entropy,10.0,log2,3,3,0.9304018514622344
entropy,10.0,log2,3,4,0.9201767304860088
entropy,10.0,log2,4,2,0.9508731327582579
entropy,10.0,log2,4,3,0.9221544287818221
entropy,10.0,log2,4,4,0.9057858194824322
entropy,20.0,auto,1,2,0.9447086050915212
entropy,20.0,auto,1,3,0.9345045234588681
entropy,20.0,auto,1,4,0.9488323164317274
entropy,20.0,auto,2,2,0.9386071954555018
entropy,20.0,auto,2,3,0.9140963601935621
entropy,20.0,auto,2,4,0.926236061434883
entropy,20.0,auto,3,2,0.9283399957921313
entropy,20.0,auto,3,3,0.9447717231222386
entropy,20.0,auto,3,4,0.9467915001051967
entropy,20.0,auto,4,2,0.9283399957921311
entropy,20.0,auto,4,3,0.9447717231222386
entropy,20.0,auto,4,4,0.9264254155270356
entropy,20.0,sqrt,1,2,0.9325057858194825
entropy,20.0,sqrt,1,3,0.9406690511256048
entropy,20.0,sqrt,1,4,0.9427309067957079
entropy,20.0,sqrt,2,2,0.9487691984010098
entropy,20.0,sqrt,2,3,0.9365663791289712
entropy,20.0,sqrt,2,4,0.9529139490847885
entropy,20.0,sqrt,3,2,0.9549758047548916
entropy,20.0,sqrt,3,3,0.9365874184725437
entropy,20.0,sqrt,3,4,0.9365453397853987
entropy,20.0,sqrt,4,2,0.9161792552072375
entropy,20.0,sqrt,4,3,0.9529560277719336
entropy,20.0,sqrt,4,4,0.9447506837786662
entropy,20.0,log2,1,2,0.9324426677887651
entropy,20.0,log2,1,3,0.922238586156112
entropy,20.0,log2,1,4,0.9406480117820324
entropy,20.0,log2,2,2,0.9365663791289712
entropy,20.0,log2,2,3,0.9406690511256048
entropy,20.0,log2,2,4,0.9426888281085631
entropy,20.0,log2,3,2,0.9386282347990743
entropy,20.0,log2,3,3,0.9427098674521355
entropy,20.0,log2,3,4,0.9488112770881548
entropy,20.0,log2,4,2,0.9447717231222386
entropy,20.0,log2,4,3,0.9324847464759098
entropy,20.0,log2,4,4,0.9447717231222386
entropy,40.0,auto,1,2,0.9324426677887651
entropy,40.0,auto,1,3,0.9221965074689671
entropy,40.0,auto,1,4,0.9467915001051967
entropy,40.0,auto,2,2,0.9366294971596887
entropy,40.0,auto,2,3,0.9386071954555018
entropy,40.0,auto,2,4,0.926404376183463
entropy,40.0,auto,3,2,0.9406480117820324
entropy,40.0,auto,3,3,0.9570376604249947
entropy,40.0,auto,3,4,0.9365453397853987
entropy,40.0,auto,4,2,0.934462444771723
entropy,40.0,auto,4,3,0.9427098674521355
entropy,40.0,auto,4,4,0.9447506837786662
entropy,40.0,sqrt,1,2,0.9243004418262151
entropy,40.0,sqrt,1,3,0.9468335787923416
entropy,40.0,sqrt,1,4,0.9181148748159057
entropy,40.0,sqrt,2,2,0.9386492741426468
entropy,40.0,sqrt,2,3,0.9365874184725438
entropy,40.0,sqrt,2,4,0.9468125394487693
entropy,40.0,sqrt,3,2,0.9406690511256051
entropy,40.0,sqrt,3,3,0.9385861561119293
entropy,40.0,sqrt,3,4,0.9427098674521355
entropy,40.0,sqrt,4,2,0.9386703134862193
entropy,40.0,sqrt,4,3,0.9427309067957079
entropy,40.0,sqrt,4,4,0.9323795497580475
entropy,40.0,log2,1,2,0.9365663791289712
entropy,40.0,log2,1,3,0.9161161371765202
entropy,40.0,log2,1,4,0.9508520934146855
entropy,40.0,log2,2,2,0.9365243004418262
entropy,40.0,log2,2,3,0.9406900904691774
entropy,40.0,log2,2,4,0.9365663791289711
entropy,40.0,log2,3,2,0.9467704607616243
entropy,40.0,log2,3,3,0.9386492741426468
entropy,40.0,log2,3,4,0.9509152114454029
entropy,40.0,log2,4,2,0.9509152114454029
entropy,40.0,log2,4,3,0.9324426677887651
entropy,40.0,log2,4,4,0.9017041868293709
